date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:00	750774/750774	---M--	200	added ('OK')	image/png	etag:W/%22b74b6-rOVmmDrWakle8WkgTLy/4+LR6lo%22	https://yuzzu-api.herokuapp.com/api/goodbye3?user=Yuzzu&iminator=200&mem=200&gcname=Yuzzu&avatar=https://i.ibb.co/KGg5rZy/yuzzu-icon.jpg&bgurl=https://i.ibb.co/4YBNyvP/images-76.jpg	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/goodbye393ef.png	(from https://yuzzu-api.herokuapp.com/media)
11:00:01	357353/357353	---M--	200	added ('OK')	image/png	etag:W/%22573e9-5yoK52WeePb7/4xrz+mXsllL+Cc%22	https://yuzzu-api.herokuapp.com/api/rank?icon=https://i.ibb.co/KGg5rZy/yuzzu-icon.jpg&user=Yuzzu&bgurl=https://i.ibb.co/4YBNyvP/images-76.jpg&needxp=1000&currxp=100&level=6&rank=https://i.ibb.co/Wn9cvnv/FABLED.png	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/rankc628.png	(from https://yuzzu-api.herokuapp.com/media)
11:00:03	1577/1577	---M--	200	added ('OK')	application/json	etag:W/%22629-Y9fiBviLjuzx7imoFuWRVWaZwc8%22	https://yuzzu-api.herokuapp.com/api/otaku?judul=Naruto	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/otaku423e.json	(from https://yuzzu-api.herokuapp.com/anime)
11:00:04	83/83	---M--	200	added ('OK')	application/json	etag:W/%2253-bd/lgQvxWVyrLLTPrVCvam9rbsQ%22	https://yuzzu-api.herokuapp.com/api/komiku?judul=Naruto	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/komiku423e.json	(from https://yuzzu-api.herokuapp.com/anime)
11:00:34	506/506	---M--	503	error ('Service%20Unavailable')	text/html	date:Sun,%2026%20Jun%202022%2004:00:30%20GMT	https://yuzzu-api.herokuapp.com/api/chara?judul=Nino	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/characde6	(from https://yuzzu-api.herokuapp.com/anime)
11:00:38	4173/4173	---M--	200	added ('OK')	application/json	etag:W/%22104d-p9VzEDH7vIExV+H3cZiF5jz9c70%22	https://yuzzu-api.herokuapp.com/api/couple	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/couple.json	(from https://yuzzu-api.herokuapp.com/anime)
11:00:38	145/145	---M--	200	added ('OK')	application/json	etag:W/%2291-llzdoLL4J7vB8YyBAZ444SLfHL8%22	https://yuzzu-api.herokuapp.com/api/nsfw/ahegao	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/nsfw/ahegao.json	(from https://yuzzu-api.herokuapp.com/anime)
11:00:39	138/138	---M--	200	added ('OK')	application/json	etag:W/%228a-WL89RDjqduimDG+cbXr1SZ21GGg%22	https://yuzzu-api.herokuapp.com/api/nsfw/bdsm	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/nsfw/bdsm.json	(from https://yuzzu-api.herokuapp.com/anime)
11:00:39	124/124	---M--	302	error ('Found')	text/html	date:Sun,%2026%20Jun%202022%2004:00:35%20GMT	https://yuzzu-api.herokuapp.com/api/nsfw/	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/nsfw/index.html	(from https://yuzzu-api.herokuapp.com/anime)
11:00:39	323/323	---M--	200	added ('OK')	application/json	etag:W/%22143-YJ+mx7y1Tj2I59TZfhgNQNb/O1g%22	https://yuzzu-api.herokuapp.com/api/nsfw/blowjob	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/nsfw/blowjob.json	(from https://yuzzu-api.herokuapp.com/anime)
11:00:40	164/164	---M--	200	added ('OK')	application/json	etag:W/%22a4-34vhwNtvaAH9zoKkHyNHEoqex/U%22	https://yuzzu-api.herokuapp.com/api/nsfw/cuckold	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/nsfw/cuckold.json	(from https://yuzzu-api.herokuapp.com/anime)
